id,product,cat_id,price,qty,barcode,status
1,guppie,1,350,30,11,active
2,"Albino Koi Swor",1,250,25,12,active
3,"rummy nose",1,310,25,13,active
4,"platinum red bi ",1,210,30,14,active
6,"tetra flakes ",2,70,15,15,active
7,"tetra bits ",2,50,15,16,active
8,microbes,2,110,8,17,active
12,"Micro worms",2,100,17,18,NULL
13,"Pogostemon stellatus",4,155,10,19,NULL
14,"Salvinia natans",4,100,8,20,NULL
15,Limnophila,4,230,5,21,NULL
16,"WP-2250 aquarium power hea",3,480,3,22,NULL
17,"Water cleanser",3,250,5,23,NULL
18,"Sunsun pump",3,320,8,24,NULL
19,"100ltr tank",5,3000,3,25,NULL
20,"300ltr tank",5,6500,3,26,NULL
22,500ltr,5,9000,3,27,active
24,planyy,4,500,25,28,active
25,firstfood,1,200,3,29,active
